0.824,0.59,0.161,0.947,0.946,0.942
0.174,0.236,0.34,0.114,0.116,0.117
0.021,0.019,0.014,0.022,0.022,0.021
0.049,0.075,0.127,0.025,0.028,0.027
0.972,0.995,1,0.952,0.941,0.951
0.202,0.137,0.052,0.257,0.269,0.245
0.092,0.062,0.02,0.121,0.123,0.105
0.1,0.046,0.005,0.141,0.151,0.118
0.961,0.89,0.402,0.948,0.941,0.964
0.597,0.504,0.77,0.683,0.642,0.432
0.827,0.481,0.11,0.898,0.774,0.42
0.872,0.402,0.611,1.2,0.992,0.312
0.927,0.843,0.651,0.94,0.949,0.962
0.058,0.075,0.106,0.05,0.049,0.048
0.004,0.004,0.004,0.004,0.004,0.004
0.006,0.009,0.016,0.004,0.004,0.004
0.972,0.987,0.998,0.96,0.946,0.938
0.095,0.074,0.049,0.107,0.115,0.111
0.016,0.013,0.009,0.019,0.019,0.019
0.015,0.01,0.004,0.019,0.022,0.02
0.945,0.917,0.795,0.938,0.946,0.961
0.251,0.261,0.324,0.266,0.258,0.232
0.101,0.098,0.084,0.106,0.104,0.093
0.108,0.108,0.143,0.121,0.111,0.086
0.902,0.762,0.326,0.912,0.922,0.932
0.13,0.177,0.286,0.104,0.1,0.101
0.018,0.017,0.014,0.016,0.016,0.015
0.03,0.048,0.096,0.017,0.016,0.017
0.933,0.969,0.989,0.776,0.771,0.794
0.165,0.11,0.058,0.268,0.264,0.25
0.047,0.03,0.014,0.057,0.057,0.052
0.044,0.021,0.006,0.096,0.092,0.084
0.364,0.194,0.022,0.433,0.443,0.372
0.797,0.869,0.945,0.808,0.816,0.834
0.127,0.069,0.025,0.162,0.155,0.126
0.7,0.784,0.897,0.751,0.766,0.774
0.696,0.822,0.923,0.552,0.537,0.554
0.072,0.059,0.047,0.091,0.092,0.089
0.003,0.003,0.003,0.002,0.002,0.002
0.007,0.005,0.003,0.01,0.01,0.01
0.132,0.211,0.299,0.075,0.073,0.089
0.301,0.268,0.22,0.339,0.34,0.334
0.007,0.008,0.007,0.007,0.007,0.007
0.098,0.08,0.056,0.122,0.122,0.119
0,0,0,0,0,0
1.046,1.034,1.023,1.065,1.06,1.067
0.014,0.011,0.008,0.016,0.017,0.016
1.103,1.076,1.049,1.148,1.137,1.151
0.769,0.556,0.129,0.953,0.94,0.955
0.208,0.261,0.359,0.125,0.14,0.127
0.027,0.022,0.014,0.026,0.029,0.026
0.07,0.089,0.14,0.033,0.043,0.033
0.972,0.994,1,0.943,0.954,0.962
0.242,0.146,0.059,0.307,0.299,0.265
0.127,0.076,0.024,0.172,0.16,0.128
0.148,0.058,0.007,0.231,0.209,0.137
0.956,0.891,0.37,0.931,0.948,0.962
0.673,0.537,0.792,0.825,0.701,0.438
1.157,0.593,0.101,1.315,0.987,0.478
1.197,0.453,0.643,1.732,1.111,0.322
0.912,0.853,0.633,0.936,0.94,0.938
0.061,0.075,0.112,0.052,0.053,0.052
0.004,0.004,0.005,0.004,0.004,0.004
0.006,0.009,0.018,0.004,0.005,0.005
0.963,0.984,0.997,0.946,0.938,0.948
0.097,0.077,0.051,0.113,0.112,0.111
0.017,0.014,0.009,0.02,0.02,0.019
0.017,0.011,0.005,0.021,0.022,0.02
0.931,0.924,0.795,0.942,0.959,0.951
0.269,0.266,0.329,0.265,0.255,0.234
0.106,0.103,0.087,0.107,0.109,0.098
0.119,0.108,0.149,0.121,0.111,0.093
0.793,0.538,0.133,0.942,0.943,0.933
0.201,0.269,0.36,0.131,0.126,0.134
0.026,0.022,0.014,0.027,0.027,0.027
0.065,0.093,0.141,0.04,0.032,0.037
0.984,0.998,1,0.947,0.942,0.95
0.221,0.136,0.055,0.313,0.328,0.265
0.119,0.066,0.023,0.172,0.186,0.127
0.133,0.041,0.006,0.232,0.297,0.141
0.951,0.87,0.391,0.934,0.957,0.965
0.65,0.573,0.789,0.779,0.717,0.446
1.052,0.647,0.108,1.315,1.02,0.484
1.055,0.576,0.637,1.714,1.165,0.324
0.904,0.868,0.639,0.946,0.951,0.952
0.063,0.069,0.11,0.051,0.049,0.052
0.004,0.004,0.005,0.004,0.004,0.004
0.007,0.008,0.017,0.004,0.004,0.004
0.955,0.987,0.995,0.944,0.947,0.947
0.095,0.077,0.051,0.115,0.11,0.111
0.017,0.014,0.009,0.02,0.02,0.019
0.016,0.011,0.005,0.022,0.02,0.02
0.944,0.921,0.814,0.952,0.929,0.953
0.252,0.265,0.331,0.256,0.256,0.241
0.107,0.097,0.085,0.108,0.106,0.098
0.105,0.107,0.144,0.113,0.114,0.094
