0.001,0.003,0.005,0.016,0.071,0.083
0.112,0.223,0.328,0.45,1.047,1.347
103.392,103.028,102.903,105.59,104.921,104.95
105.971,105.573,105.583,109.292,108.573,108.825
0.002,0.004,0.001,0.007,0.018,0.013
0.175,0.27,0.106,0.343,0.534,0.403
136.707,136.798,136.26,139.266,138.996,138.957
139.583,139.716,138.956,143.54,143.179,142.988
0.001,0.001,0.068,0.006,0.003,0.159
0.154,0.113,1.27,0.306,0.202,1.95
151.719,151.268,151.298,154.539,154.399,155.625
154.904,154.332,153.568,159.201,158.912,158.998
0.013,0.007,0.005,0.014,0.017,0.046
1.058,0.669,0.59,0.924,1.155,1.736
408.248,407.803,406.227,408.681,410.389,409.701
411.621,411.211,409.744,414.086,415.767,415.133
0.003,0.006,0.002,0.026,0.016,0.009
0.516,0.622,0.403,1.315,1.001,0.798
542.836,543.331,543.254,547.918,546.728,547.485
546.46,546.965,546.853,554.055,552.906,553.615
0.001,0.002,0.031,0.004,0.005,0.021
0.265,0.38,1.647,0.508,0.572,1.326
604.194,603.554,604.657,608.175,607.323,608.037
607.966,607.247,608.202,614.716,613.831,614.339
0.819,1.719,3.564,1.531,3.161,6.103
4.433,6.405,9.248,6.01,8.629,11.986
102.293,103.545,105.382,104.43,103.928,104.585
106.224,108.211,110.805,110.02,110.415,112.169
0.026,0.042,0.003,0.153,0.108,0.032
0.77,0.989,0.2,1.828,1.438,0.719
136.167,135.417,135.908,137.829,137.597,138.076
139.19,138.075,138.272,142.229,141.474,141.359
0.014,0.525,2.316,0.02,0.678,3.144
0.546,3.548,7.455,0.68,4.022,8.672
150.929,152.514,154.256,154.434,156.286,159.522
153.551,153.984,154.66,158.243,158.434,160.179
0.203,0.608,1.365,0.271,0.712,2.076
4.466,7.719,11.589,5.028,8.321,14.203
406.135,405.938,409.302,408.671,408.061,410.012
410.013,410.194,414.258,414.774,414.725,417.852
0.028,0.017,0.019,0.022,0.026,0.006
1.643,1.248,1.163,1.276,1.357,0.698
541.801,542.477,541.997,546.947,546.553,546.841
545.4,545.882,545.161,553.048,552.627,552.52
0.018,0.119,0.966,0.017,0.103,1.042
1.327,3.362,9.775,1.229,3.097,10.123
604.248,603.958,606.258,607.672,607.176,610.335
607.774,607.174,608.76,613.989,612.876,614.816
12.685,12.717,13.102,0.099,0.119,0.17
15.117,15.144,15.358,1.255,1.344,1.517
117.663,117.792,118.427,115.007,116.003,115.864
120.581,120.856,121.603,118.702,119.809,119.713
15.052,15.211,15.107,0.086,0.047,0.036
16.662,16.627,16.599,1.17,0.888,0.735
155.714,156.178,156.316,148.906,149.557,149.964
159.624,160.196,160.388,153.232,153.714,154.022
19.403,19.332,19.595,0.035,0.029,0.164
18.645,18.657,18.787,0.724,0.636,1.712
178.564,178.23,178.193,165.159,164.48,165.558
183.445,183.085,182.915,169.907,169.06,168.956
94.243,94.362,93.639,0.221,0.232,0.22
84.264,84.395,83.991,3.766,3.685,3.868
541.225,541.158,540.95,513.719,512.951,513.036
548.113,548.348,548.002,519.134,518.319,518.481
110.006,110.446,108.76,0.207,0.204,0.214
90.79,90.965,90.306,3.742,3.644,3.708
703.664,703.984,702.876,649.626,650.287,650.028
711.746,712.062,710.865,655.719,656.453,656.199
134.173,133.629,133.801,0.203,0.203,0.215
100.089,99.91,99.94,3.656,3.675,3.788
797.998,798.002,797.322,710.853,710.85,710.37
806.276,806.47,805.722,717.505,717.435,716.687
10.889,10.645,11.138,1.501,3.305,5.834
13.483,13.018,12.721,5.768,8.722,11.614
118.209,118.024,121.256,114.814,114.954,115.784
122.97,123.792,128.307,120.293,121.312,123.262
13.001,12.48,12.387,0.17,0.08,0.053
15.274,14.843,14.778,1.868,1.149,0.852
155.738,155.113,156.079,148.241,149.07,148.644
160.66,160.215,161.549,152.66,152.945,152.202
18.543,19.874,20.555,0.078,0.825,3.064
18.262,18.893,19.194,1.043,4.296,8.508
177.725,178.256,177.683,165.095,167.03,169.617
182.636,182.812,181.917,169.016,169.28,170.305
88.253,85.799,80.681,0.578,0.722,2.066
81.66,80.449,78.058,6.645,7.5,13.578
540.197,540.35,542.092,510.814,511.504,513.078
547.814,548.532,551.226,517.028,518.071,520.904
105.494,100.131,95.592,0.225,0.218,0.209
89.038,86.859,84.831,3.973,3.837,3.74
704.829,703.027,704.959,648.463,648.762,648.865
713.673,712.139,714.891,654.712,654.842,654.626
132.26,129.589,127.6,0.214,0.446,1.257
99.394,98.41,97.663,3.751,5.11,10.226
798.616,797.19,796.797,710.725,712.42,713.083
807.164,805.846,805.423,717.059,718.127,717.495
